epoch,solarRadiationHigh,winddirAvg,humidityAvg,metric.tempAvg,metric.windspeedAvg,metric.windgustHigh,metric.dewptAvg,metric.pressureMin,metric.precipTotal
1748055898,0.0,223,22.0,0.4,4.3,14.8,-2.4,855.91,0.0
1748056188,0.0,233,22.0,0.4,6.2,14.8,-2.1,855.91,0.0
1748056485,0.0,225,22.0,0.3,6.6,18.3,-1.8,855.91,0.0
1748056798,0.0,220,21.9,0.3,9.2,20.1,-1.9,856.01,0.0
1748057098,0.0,222,22.0,0.1,8.0,18.3,-2.0,856.32,0.0
1748057388,0.0,218,21.9,0.2,10.4,20.1,-2.3,856.21,0.0
1748057685,0.0,220,22.0,0.2,11.3,21.9,-2.4,856.11,0.0
1748057985,0.0,222,22.0,0.3,11.8,18.3,-2.5,856.11,0.0
1748058291,0.0,229,22.0,0.2,8.3,21.9,-2.5,855.91,0.0
1748058588,0.0,230,22.0,0.1,8.1,23.8,-2.6,856.01,0.0
1748058886,0.0,229,22.0,0.0,7.4,25.6,-2.3,855.91,0.0
1748059195,0.0,220,21.9,0.0,11.1,23.8,-2.5,855.91,0.0
1748059483,0.0,224,21.9,-0.2,11.1,27.7,-2.6,855.91,0.0
1748059790,0.0,221,21.9,-0.2,14.1,25.6,-2.6,856.01,0.0
1748060086,0.0,213,22.0,-0.1,18.6,25.6,-2.9,856.01,0.0
1748060391,0.0,222,21.9,-0.1,12.7,20.1,-2.9,856.11,0.0
1748060699,0.0,211,21.9,-0.1,12.1,18.3,-3.1,856.01,0.0
1748060989,0.0,211,21.7,-0.1,13.0,18.3,-3.0,856.21,0.0
1748061286,0.0,210,21.7,-0.1,11.1,18.3,-2.8,856.21,0.0
1748061598,0.0,212,21.7,0.1,13.1,23.8,-3.6,856.01,0.0
1748061899,0.0,197,21.8,-0.2,15.6,25.6,-2.8,855.91,0.0
1748062190,0.0,203,21.6,-0.3,16.5,25.6,-2.9,855.81,0.0
1748062485,0.0,203,21.5,-0.2,16.5,23.8,-3.0,855.91,0.0
1748062798,0.0,202,21.6,-0.3,17.4,23.8,-2.8,855.91,0.0
1748063091,0.0,206,21.6,-0.3,16.9,23.8,-2.9,855.91,0.0
1748063387,0.0,206,21.5,0.0,17.2,23.8,-3.5,855.81,0.0
1748063691,0.0,208,21.4,-0.1,18.0,29.5,-3.2,855.71,0.0
1748063986,0.0,213,21.3,0.0,19.4,27.7,-3.6,855.71,0.0
1748064283,0.0,218,21.5,0.0,18.0,25.6,-3.6,855.71,0.0
1748064596,0.0,211,21.6,0.2,14.2,27.7,-3.7,855.71,0.0
1748064886,0.0,222,21.3,0.2,13.6,33.2,-4.0,855.64,0.0
1748065199,0.0,225,21.3,0.3,10.5,25.6,-4.1,855.64,0.0
1748065497,0.0,219,21.3,0.1,12.3,21.9,-3.7,855.54,0.0
1748065788,0.0,221,21.3,-0.1,10.7,21.9,-3.8,855.64,0.0
1748066091,0.0,224,21.4,0.0,13.4,25.6,-4.0,855.64,0.0
1748066386,0.0,219,21.4,-0.1,10.4,20.1,-3.7,855.71,0.0
1748066683,0.0,220,21.2,-0.3,11.8,20.1,-3.7,855.64,0.0
1748066990,0.0,212,21.3,-0.1,15.7,27.7,-3.8,855.71,0.0
1748067286,0.0,222,21.2,-0.2,14.0,25.6,-3.8,855.71,0.0
1748067598,0.0,216,21.5,-0.3,13.3,20.1,-3.8,855.81,0.0
1748067897,0.0,215,21.2,-0.5,11.1,18.3,-3.5,855.71,0.0
1748068188,0.0,220,21.1,-0.4,10.4,20.1,-4.2,855.81,0.0
1748068487,0.0,219,21.1,-0.2,10.1,21.9,-4.2,855.81,0.0
1748068786,0.0,225,21.1,-0.2,7.7,16.6,-4.3,855.81,0.0
1748069097,0.0,216,21.1,-0.2,7.7,16.6,-4.3,855.71,0.0
1748069388,0.0,229,21.2,0.0,2.7,11.1,-4.8,855.71,0.0
1748069686,0.0,227,21.1,0.0,2.6,9.3,-4.6,855.71,0.0
1748069991,0.0,208,21.1,-0.1,7.9,13.0,-4.5,855.71,0.0
1748070297,0.0,207,21.0,-0.4,6.3,13.0,-4.1,855.81,0.0
1748070588,0.0,222,21.1,-0.5,2.0,7.2,-4.2,855.81,0.0
1748070886,0.0,203,21.0,-0.7,4.7,11.1,-4.0,855.71,0.0
1748071196,0.0,214,21.0,-0.7,2.3,9.3,-4.1,855.71,0.0
1748071492,0.0,215,21.1,-0.9,4.7,11.1,-3.7,855.81,0.0
1748071790,0.0,232,20.9,-1.0,1.1,5.5,-3.4,855.81,0.0
1748072086,0.0,259,21.0,-1.2,0.0,1.8,-3.6,855.81,0.0
1748072391,0.0,248,21.0,-1.2,0.2,1.8,-3.4,856.01,0.0
